year,month,day,hour,min,sec,ms,id,data
0,0,0,0,7,21,82,0cfffa48,000000000000ffff
0,0,0,0,7,21,92,0cfff448,0000000000000000
0,0,0,0,7,21,92,0cfffb48,0000000000000000
0,0,0,0,7,21,105,0cfff048,000000000e016400
0,0,0,0,7,21,105,0cfffc48,0000000000000000
0,0,0,0,7,21,112,0cfff148,be05be05000000ff
0,0,0,0,7,21,112,0cfffd48,e8035b050004e803
0,0,0,0,7,21,122,0cfffe48,e903e803ffffffff
0,0,0,0,7,21,132,0cffd048,0000000000000000
0,0,0,0,7,21,152,0cfff048,000000000e016400
0,0,0,0,7,21,152,0cfff748,0000000000000000
0,0,0,0,7,21,164,0cfff148,be05be05000000ff
0,0,0,0,7,21,164,0cfff848,00000000e8030000
0,0,0,0,7,21,172,0cfff248,0400040007000400
0,0,0,0,7,21,172,0cfff948,0000000000000000
0,0,0,0,7,21,183,0cfff348,0400040004001500
0,0,0,0,7,21,183,0cfffa48,000000000000ffff
0,0,0,0,7,21,192,0cfff448,0000000000000000
0,0,0,0,7,21,192,0cfffb48,0000000000000000
0,0,0,0,7,21,192,0cfff048,000000000e016400
0,0,0,0,7,21,192,0cfffc48,0000000000000000
0,0,0,0,7,21,192,0cfff148,be05be05000000ff
0,0,0,0,7,21,192,0cfffd48,e8035b050004e803
0,0,0,0,7,21,222,0cfffe48,e903e803ffffffff
0,0,0,0,7,21,232,0cffd048,0000000000000000
0,0,0,0,7,21,252,0cfff048,000000000e016400
0,0,0,0,7,21,252,0cfff748,0000000000000000
0,0,0,0,7,21,262,0cfff148,be05be05000000ff
0,0,0,0,7,21,262,0cfff848,00000000e8030000
0,0,0,0,7,21,272,0cfff248,0500040004000400
0,0,0,0,7,21,272,0cfff948,0000000000000000
0,0,0,0,7,21,282,0cfff348,0400040004001500
0,0,0,0,7,21,282,0cfffa48,000000000000ffff
0,0,0,0,7,21,294,0cfff448,0000000000000000
0,0,0,0,7,21,294,0cfffb48,0000000000000000
0,0,0,0,7,21,302,0cfff048,000000000e016400
0,0,0,0,7,21,302,0cfffc48,0000000000000000
0,0,0,0,7,21,314,0cfff148,be05be05000000ff
0,0,0,0,7,21,314,0cfffd48,e8035b050004e803
0,0,0,0,7,21,322,0cfff548,ce04a802080700ff
0,0,0,0,7,21,322,0cfffe48,e903e803ffffffff
0,0,0,0,7,21,334,0cfff648,a802a802030432ff
0,0,0,0,7,21,334,0cffd048,0000000000000000
0,0,0,0,7,21,355,0cfff048,000000000e016400
0,0,0,0,7,21,355,0cfff748,0000000000000000
0,0,0,0,7,21,362,0cfff148,be05be05000000ff
0,0,0,0,7,21,362,0cfff848,00000000e8030000
0,0,0,0,7,21,374,0cfff248,0400040004000400
0,0,0,0,7,21,374,0cfff948,0000000000000000
0,0,0,0,7,21,384,0cfff348,0400040004001500
0,0,0,0,7,21,384,0cfffa48,000000000000ffff
0,0,0,0,7,21,392,0cfff448,0000000000000000
0,0,0,0,7,21,392,0cfffb48,0000000000000000
0,0,0,0,7,21,403,0cfff048,000000000e016400
0,0,0,0,7,21,403,0cfffc48,0000000000000000
0,0,0,0,7,21,414,0cfff148,be05be05000000ff
0,0,0,0,7,21,414,0cfffd48,e8035b050004e803
0,0,0,0,7,21,425,0cfffe48,e903e803ffffffff
